;D;Drel;D_SHI;D_AccHI;D_DecHI;D_MPHI;AMP;%ED;D_S6;D_A8;D_A1;%Tempo Recupero;D_MP5;T;%D_A1;%D_A8;%D_AccHI;%D_DecHI;%D_MPHI;%D_SHI;ND_A1;NU_A8;NU_AccHI;ND_DecHI;NU_S6;ND_DecHI;D_S4;%AI;SMax (kmh);
Team Average;6483;116;434;272;264;1518;10,12;12,84;111,77;72,13;82,44;32,2;134,4;00:55:58;1,26;1,1;4,16;4,05;23,08;6,6;20,67;13,89;71,56;78,11;3,22;78,11;548,98;36,6;29,59;
BELLONI ;7413;132;563;304;294;2051;11,57;12,9;125,29;68,28;91,72;25,82;149,5;00:55:58;1,24;0,92;4,1;3,96;27,67;7,59;24;12;72;81;3;81;830,14;41,82;29,95;
BOCCIA;6286;112;410;345;328;1563;10,16;16,88;197,47;107,79;113,72;35,02;185,96;00:55:58;1,81;1,71;5,49;5,21;24,86;6,52;26;26;104;102;5;102;539,99;40,29;32,25;
COCCO;5907;106;364;210;212;1128;9,04;10,67;100,46;43,48;59,71;34,92;116,98;00:55:58;1,01;0,74;3,56;3,58;19,09;6,17;12;5;49;55;2;55;383,25;31,15;27,14;
DEMARCUS ;6568;117;615;343;321;1748;10,58;16,51;136,18;108,69;125,37;33,5;190,73;00:55:58;1,91;1,65;5,22;4,89;26,61;9,36;38;23;96;100;5;100;649,34;42,36;29,88;
EMERSON;5685;102;329;178;205;1038;8,68;10,41;110,9;35,43;61,91;36,94;96,1;00:55:58;1,09;0,62;3,14;3,61;18,27;5,78;19;3;47;59;5;59;309,73;29,17;29,14;
GIANDONATO;5707;102;116;163;152;870;8,57;8,61;16,22;41,67;38,28;35,28;44,92;00:55:58;0,67;0,73;2,86;2,66;15,25;2,04;8;8;48;42;1;42;248,99;25,47;27,06;
LA ROSA ;6988;125;561;286;263;1776;10,86;12,36;127,43;74,79;67,64;28,71;113,29;00:55:58;0,97;1,07;4,1;3,77;25,42;8,03;15;12;58;72;4;72;617,76;39,46;29,83;
OCCHIONI;7274;130;431;296;307;1890;11,32;12,52;64,31;72,12;90,93;27,03;130,36;00:55:58;1,25;0,99;4,07;4,23;25,98;5,93;24;16;75;102;2;102;738,12;40,29;30,88;
TRAVAGLINI;6517;116;520;319;296;1600;10,33;14,67;127,66;96,89;92,68;32,62;181,78;00:55:58;1,42;1,49;4,9;4,55;24,55;7,98;20;20;95;90;2;90;623,49;39,36;30,15;
