;D;Drel;D_SHI;D_AccHI;D_DecHI;D_MPHI;AMP;%ED;D_S6;D_A8;D_A1;%Tempo Recupero;D_MP5;T;%D_A1;%D_A8;%D_AccHI;%D_DecHI;%D_MPHI;%D_SHI;ND_A1;NU_A8;NU_AccHI;ND_DecHI;NU_S6;ND_DecHI;D_S4;%AI;SMax (kmh);
Team Average;1337;150;625;37;8;850;12,16;5,05;1,51;10,21;0,58;51,56;22,09;00:08:56;0,04;0,76;2,79;0,57;63,55;46,61;0;4,8;13,2;0,4;0;0,4;653,19;74,82;23,05;
ARBOLEDA;1330;149;850;50;8;877;12,28;6,67;5,88;17,3;0,98;53,71;47,85;00:08:56;0,07;1,3;3,74;0,59;65,95;63,93;0;10;13;1;0;1;425,66;77,69;24,45;
BELLONI ;1323;148;809;50;11;871;12,16;6,11;1,83;10,12;0,89;54,03;39,03;00:08:56;0,07;0,76;3,78;0,81;65,8;61,15;0;3;20;0;0;0;373,92;77,08;24,48;
BOCCIA;1376;154;843;42;8;918;12,6;5,76;1,39;22,26;0,73;53,24;34,67;00:08:56;0,05;1,62;3,08;0,57;66,69;61,25;0;12;13;1;0;1;409,81;76,42;24,11;
COCCO;1327;148;856;43;3;918;12,02;4,68;5,34;10,83;0,26;54,47;23;00:08:56;0,02;0,82;3,22;0,22;69,22;64,55;0;6;14;0;0;0;376,46;79,3;24,87;
DEMARCUS ;1329;149;584;26;6;885;11,85;3;0;7,69;0,25;50,57;4,85;00:08:56;0,02;0,58;1,95;0,45;66,54;43,94;0;7;12;0;0;0;728,28;76,1;22,58;
EMERSON;1367;153;556;29;4;868;12,24;3,47;0;5,08;1,45;49,96;4,82;00:08:56;0,11;0,37;2,11;0,27;63,48;40,71;0;1;13;0;0;0;812,17;73,52;21,9;
GIANDONATO;1272;142;4;18;4;728;11,35;3,09;0;2,16;0,08;49,41;0,3;00:08:56;0,01;0,17;1,43;0,28;57,22;0,34;0;0;10;0;0;0;907,71;68,75;19,29;
LA ROSA ;1341;150;484;28;2;833;11,95;2,9;0;5,22;0;49,08;4,08;00:08:56;0;0,39;2,11;0,16;62,13;36,09;0;1;11;0;0;0;895,74;72,44;21,62;
LELLA ;1351;151;676;40;6;833;12,32;5,38;0;14,07;0,11;51,19;21,5;00:08:56;0,01;1,04;2,99;0,47;61,71;50,05;0;8;12;0;0;0;632,77;74,01;22,36;
OCCHIONI;1335;149;583;29;9;857;12,08;4,54;0;6,44;0,81;51,67;10,95;00:08:56;0,06;0,48;2,18;0,64;64,18;43,66;0;5;11;2;0;2;769,07;75,3;23,11;
PALESI;1343;150;832;45;6;874;12,36;6,3;6,34;11,22;0,17;52,84;44,12;00:08:56;0,01;0,84;3,38;0,44;65,08;61,96;0;3;14;0;0;0;413,4;77,03;24,8;
PISANO;1361;152;374;36;6;817;12,28;4,18;0;3,55;0,63;48,13;6,6;00:08:56;0,05;0,26;2,61;0,44;60,02;27,49;0;1;15;0;0;0;997,52;71,43;21,2;
RAGATZU;1335;149;699;43;12;853;12,21;5,65;1,83;12,9;0,05;51,7;28,5;00:08:56;0;0,97;3,25;0,89;63,89;52,35;0;2;13;0;0;0;642,33;75,48;24,69;
TRAVAGLINI;1329;149;619;33;5;845;12,03;4,62;0;10,49;0,3;51,89;14,53;00:08:56;0,02;0,79;2,47;0,4;63,62;46,58;0;9;13;0;0;0;744,19;75,01;22,45;
UDHO;1338;150;604;48;24;773;12,68;9,4;0;13,86;2,05;51,53;46,51;00:08:56;0,15;1,04;3,58;1,83;57,78;45,16;0;4;14;2;0;2;668,78;72,72;23,85;
