;D;Drel;D_SHI;D_AccHI;D_DecHI;D_MPHI;AMP;%ED;D_S6;D_A8;D_A1;%Tempo Recupero;D_MP5;T;%D_A1;%D_A8;%D_AccHI;%D_DecHI;%D_MPHI;%D_SHI;ND_A1;NU_A8;NU_AccHI;ND_DecHI;NU_S6;ND_DecHI;D_S4;%AI;SMax (kmh);
Team Average;961;60;24;28;20;115;4,95;6,5;0,99;5,52;2,42;61,69;6,64;00:16:00;0,25;0,57;2,92;2,1;11,96;2,42;0,2;0,33;4,13;1,8;0;1,8;66,6;18,49;21,85;
ARBOLEDA;937;59;10;21;17;105;4,77;5,27;0;2,13;1,21;61,91;1,95;00:16:00;0,13;0,23;2,26;1,8;11,23;1,1;0;0;3;2;0;2;49,9;17,48;20,9;
BELLONI ;999;62;57;32;29;149;5,24;8,34;2,66;8,93;6,98;61,55;17,05;00:15:59;0,7;0,89;3,16;2,88;14,89;5,75;2;0;6;3;0;3;104,6;23,34;24,32;
BOCCIA;977;61;41;34;24;127;5,07;7,38;0;8,96;2,51;60,45;11,98;00:16:00;0,26;0,92;3,44;2,43;13,03;4,2;0;0;9;4;0;4;75,6;20,3;23,92;
COCCO;905;57;13;33;22;111;4,68;7,1;0;4,35;1,92;65,58;7,61;00:16:00;0,21;0,48;3,6;2,49;12,22;1,44;0;0;3;2;0;2;81,28;18,98;21,72;
DEMARCUS ;922;58;16;25;17;101;4,71;5,69;0;5,07;2,07;62,79;4,4;00:16:00;0,22;0,55;2,69;1,84;10,97;1,76;0;1;5;0;0;0;48,49;17,5;20,82;
EMERSON;965;60;48;32;20;150;5,02;7,63;1,53;9,7;2,28;64,32;10,79;00:16:00;0,24;1;3,29;2,07;15,57;4,99;0;2;9;3;0;3;116,35;23,44;24,15;
GIANDONATO;934;58;0;21;18;91;4,77;5,7;0;2,15;1,53;64,42;0,48;00:16:00;0,16;0,23;2,23;1,95;9,7;0;0;0;0;1;0;1;29,24;14,4;18,47;
LA ROSA ;906;57;0;21;18;76;4,62;5,53;0;3,58;2,94;62,31;0,48;00:16:00;0,32;0,4;2,37;1,99;8,38;0;0;0;1;1;0;1;12,92;13,57;18,85;
LELLA ;1022;64;32;37;20;136;5,28;6,81;0;8,57;2,74;59,66;9,71;00:16:00;0,27;0,84;3,6;2;13,34;3,17;1;0;6;1;0;1;98,26;20,16;22,38;
OCCHIONI;914;57;16;28;22;99;4,7;6,28;0;4,1;1,66;61,7;3,73;00:16:00;0,18;0,45;3,08;2,38;10,86;1,75;0;0;3;2;0;2;49,55;17,09;21,52;
PALESI;980;61;26;24;16;111;4,99;5,35;0;2,43;1,18;59,22;6,78;00:16:00;0,12;0,25;2,48;1,62;11,3;2,7;0;0;1;2;0;2;65,47;17,36;23;
PISANO;1013;63;20;31;21;133;5,23;6,76;0;7,43;4,99;59,6;2,23;00:16:00;0,49;0,73;3,07;2,1;13,13;1,96;0;0;2;2;0;2;73,02;19,02;20,99;
RAGATZU;953;60;48;34;21;128;5;8,48;10,59;9,08;1,9;62,43;16,33;00:16:00;0,2;0,95;3,59;2,25;13,44;5,02;0;2;7;4;0;4;115,18;21,35;26,51;
TRAVAGLINI;988;62;15;22;18;97;5,03;5,19;0;3,46;1,29;58,98;3,15;00:16:00;0,13;0,35;2,27;1,81;9,78;1,52;0;0;3;0;0;0;35,8;14,9;20,14;
UDHO;996;62;9;26;19;115;5,11;6,05;0;2,92;1,13;60,4;2,91;00:16:00;0,11;0,29;2,59;1,89;11,55;0,91;0;0;4;0;0;0;43,29;18,44;19,99;
