;D;Drel;D_SHI;D_AccHI;D_DecHI;D_MPHI;AMP;%ED;D_S6;D_A8;D_A1;%Tempo Recupero;D_MP5;T;%D_A1;%D_A8;%D_AccHI;%D_DecHI;%D_MPHI;%D_SHI;ND_A1;NU_A8;NU_AccHI;ND_DecHI;NU_S6;ND_DecHI;D_S4;%AI;SMax (kmh);
Team Average;5232;78;115;238;232;878;6,9;13,31;7,65;66,62;71,68;52,44;61,04;01:06:40;1,33;1,24;4,44;4,32;16,13;2,09;16,53;9,27;71,27;76,47;0,13;76,47;272,52;28,32;23,65;
ARBOLEDA;5502;80;195;346;365;1181;7,44;20,11;11,16;112,88;129,05;53,28;123,39;01:08:45;2,35;2,05;6,29;6,64;21,48;3,55;30;29;104;136;0;136;382,01;37,55;25,48;
BELLONI ;6124;89;271;275;291;1288;7,84;13,78;9,16;58,92;70,57;47,72;68,28;01:08:45;1,15;0,96;4,5;4,76;21,04;4,42;12;5;68;91;0;91;525,65;34,14;24,85;
COCCO;4570;66;39;158;152;499;5,64;9,64;0;40,76;36,82;58,7;31,89;01:08:45;0,81;0,89;3,45;3,33;10,91;0,85;7;2;37;41;0;41;128,11;20,5;22,62;
DEMARCUS ;5548;81;231;307;308;1160;7,29;16,71;5,21;93,33;103,45;51,81;88,86;01:08:45;1,86;1,68;5,53;5,55;20,9;4,17;27;14;90;110;0;110;384,6;35,36;24,76;
EMERSON;4197;61;0;93;89;233;5,04;6,73;0;20,74;22,16;60,48;3,54;01:08:45;0,53;0,49;2,21;2,12;5,55;0;3;3;21;27;0;27;17,9;11,07;18,22;
GIANDONATO;4457;65;5;109;106;375;5,4;7,63;0;26,7;24,64;59,52;9,48;01:08:45;0,55;0,6;2,45;2,39;8,4;0,11;3;1;29;31;0;31;43,95;15,6;20,25;
LA ROSA ;5210;76;85;207;163;760;6,49;10,69;17,01;49,15;40,77;53,53;47,07;01:08:45;0,78;0,94;3,98;3,12;14,59;1,64;8;6;50;42;0;42;168,3;25,8;26,9;
LELLA ;5822;85;146;394;367;1147;7,9;20,57;1,81;145,89;140,69;48,76;150,88;01:08:45;2,42;2,51;6,76;6,3;19,7;2,5;41;29;131;129;0;129;434,26;36,69;24,27;
OCCHIONI;6037;88;71;242;272;1264;7,68;13,02;0;63,13;77,94;47,68;42,23;01:08:45;1,29;1,05;4;4,5;20,93;1,17;19;5;84;97;0;97;432,01;33,98;22,82;
PALESI;5439;79;87;217;199;813;6,83;11,52;0;47,45;56,89;52,52;32,71;01:08:45;1,05;0,87;3,99;3,66;14,94;1,59;11;4;73;67;0;67;208;26,29;22,93;
PISANO;2062;55;2;67;75;202;4,71;10,44;0;19,36;26,49;66,03;6,92;00:37:24;1,28;0,94;3,27;3,63;9,81;0,09;8;0;18;28;0;28;22,31;18,19;19,42;
RAGATZU;4813;70;190;227;225;715;6,17;13,9;28,17;67,69;77,35;56,1;85,78;01:08:45;1,61;1,41;4,72;4,68;14,85;3,94;11;6;78;72;1;72;204,58;27,54;27,84;
RENAULT ;6852;100;168;384;334;1463;8,97;16,35;8,67;109,25;108,13;40,32;84,89;01:08:45;1,58;1,59;5,6;4,87;21,35;2,45;30;13;112;103;0;103;439,51;36,43;25,11;
TRAVAGLINI;6233;91;173;294;295;1224;8,02;14,26;33,56;79,12;90,89;45,71;74,41;01:08:45;1,46;1,27;4,71;4,73;19,64;2,78;23;15;102;99;1;99;402,23;33,64;27,04;
UDHO;5608;82;65;255;238;843;7,13;13,04;0;64,86;69,41;50,58;65,33;01:08:45;1,24;1,16;4,54;4,24;15,03;1,16;15;7;72;74;0;74;294,45;27,41;22,17;
