;D;Drel;D_SHI;D_AccHI;D_DecHI;D_MPHI;AMP;%ED;D_S6;D_A8;D_A1;%Tempo Recupero;D_MP5;T;%D_A1;%D_A8;%D_AccHI;%D_DecHI;%D_MPHI;%D_SHI;ND_A1;NU_A8;NU_AccHI;ND_DecHI;NU_S6;ND_DecHI;D_S4;%AI;SMax (kmh);
Team Average;2047;93;53;104;100;379;8,32;14,59;4,08;28,96;32,52;42,79;30,97;00:21:55;1,52;1,36;4,89;4,71;17,54;2,41;7,71;3,93;31,21;32,71;0,07;32,71;114,68;31,1;23,02;
ARBOLEDA;2210;101;102;149;155;546;9,45;21,18;5,93;47,25;57,3;40,07;64,26;00:21:55;2,59;2,14;6,73;7,03;24,69;4,6;15;12;41;51;0;51;183,08;42,29;25,04;
BELLONI ;2482;113;93;130;144;593;10,17;16,05;3,39;23,81;38,27;34,09;36,63;00:21:55;1,54;0,96;5,26;5,81;23,9;3,74;7;0;23;45;0;45;237,38;39,09;24,69;
COCCO;1449;66;4;53;49;146;5,63;9,95;0;15,67;13,08;59,64;9,15;00:21:55;0,9;1,08;3,67;3,4;10,04;0,26;4;0;17;12;0;12;27,16;19,73;20,67;
DEMARCUS ;2278;104;141;127;143;597;9,5;18,1;4,65;34,79;51,67;39,56;38,66;00:21:55;2,27;1,53;5,56;6,26;26,2;6,2;12;4;39;56;0;56;182,1;41,8;24,76;
EMERSON;1401;64;0;31;27;77;5,27;6,68;0;5,34;6,7;59;1,26;00:21:55;0,48;0,38;2,22;1,94;5,48;0;2;0;6;11;0;11;6,91;10,93;17,27;
GIANDONATO;1662;76;0;33;33;126;6,27;6,9;0;8,05;8,05;50,34;3,68;00:21:55;0,48;0,48;2,01;1,97;7,56;0;1;0;9;9;0;9;7,55;14,38;17,74;
LA ROSA ;2046;93;75;105;85;366;8,24;14,07;17,01;29,3;25,9;42,5;38,33;00:21:55;1,27;1,43;5,13;4,18;17,9;3,66;6;4;26;21;0;21;80,65;32,14;26,9;
LELLA ;2290;104;61;181;158;497;9,98;23,46;0;69,18;64,67;36,67;75,58;00:21:55;2,82;3,02;7,88;6,88;21,72;2,68;20;12;61;60;0;60;177,79;41,04;23,38;
OCCHIONI;2363;108;29;92;109;474;9,44;13,19;0;20,68;31,96;31,66;13,16;00:21:55;1,35;0,88;3,89;4,62;20,07;1,24;7;0;28;38;0;38;138,72;33,61;22,82;
PALESI;2157;98;14;84;74;325;8,47;11,2;0;22,3;19,97;38,37;10,54;00:21:55;0,93;1,03;3,91;3,43;15,05;0,65;3;4;32;23;0;23;95,97;27,12;19,62;
RAGATZU;1608;73;61;88;83;247;6,57;15,82;15,19;26;30,33;54,2;33,58;00:21:55;1,89;1,62;5,5;5,18;15,36;3,8;3;2;33;33;1;33;67,25;29,66;27,84;
RENAULT ;2489;114;69;162;149;573;10,47;19,17;8,67;46,05;50,81;30,76;44,75;00:21:55;2,04;1,85;6,51;5,99;23;2,75;15;6;47;42;0;42;166,52;40,28;25,11;
TRAVAGLINI;2292;105;53;119;104;448;9,26;14,49;2,23;31,52;25,26;36,53;31,57;00:21:55;1,1;1,38;5,17;4,54;19,54;2,33;5;9;46;28;0;28;124,59;34,77;24,19;
UDHO;1928;88;34;98;90;292;7,76;14,01;0;25,54;31,34;45,71;32,38;00:21:55;1,63;1,32;5,08;4,67;15,12;1,79;8;2;29;29;0;29;109,88;28,55;22,17;
