;D;Drel;D_SHI;D_AccHI;D_DecHI;D_MPHI;AMP;%ED;D_S6;D_A8;D_A1;%Tempo Recupero;D_MP5;T;%D_A1;%D_A8;%D_AccHI;%D_DecHI;%D_MPHI;%D_SHI;ND_A1;NU_A8;NU_AccHI;ND_DecHI;NU_S6;ND_DecHI;D_S4;%AI;SMax (kmh);
Team Average;2435;93;66;101;101;481;8,12;12,48;3,85;27,35;29,58;44,48;29,87;00:26:13;1,16;1,07;4,01;4,03;18,89;2,53;6,93;4,47;26,93;31,4;0,07;31,4;163,52;31,62;22,67;
ARBOLEDA;2364;90;93;140;154;547;8,33;19,41;5,22;46,71;48,22;48,8;52,9;00:26:13;2,04;1,98;5,94;6,51;23,13;3,95;8;12;41;54;0;54;181,74;39,71;25,48;
BELLONI ;2731;104;178;112;115;669;9,11;12,95;5,77;27,47;24,73;40,03;30,38;00:26:13;0,91;1,01;4,11;4,22;24,48;6,51;4;5;35;34;0;34;288,27;38,32;24,85;
COCCO;2391;91;35;83;80;338;7,75;9,83;0;19,44;18,31;41,59;22,74;00:26:13;0,77;0,81;3,46;3,37;14,14;1,47;2;2;16;23;0;23;100,95;25,51;22,62;
DEMARCUS ;2399;91;90;132;124;516;8,25;16,43;0,56;42,36;39,14;45,45;48,21;00:26:13;1,63;1,77;5,49;5,18;21,5;3,76;14;7;36;41;0;41;202,5;36,81;24,05;
EMERSON;1942;74;0;29;31;126;6,02;4,94;0;5,3;6,47;50,01;1,79;00:26:13;0,33;0,27;1,5;1,61;6,48;0;1;0;4;7;0;7;10,99;11,97;18,22;
GIANDONATO;1962;75;5;47;48;226;6,23;7,59;0;10,05;9,58;53,25;4,16;00:26:13;0,49;0,51;2,4;2,44;11,51;0,25;1;0;9;14;0;14;36,4;19,8;20,25;
LA ROSA ;2317;88;11;70;53;368;7,42;8,44;0;14,13;10,55;46,15;8,74;00:26:13;0,46;0,61;3,04;2,27;15,89;0,46;1;1;15;11;0;11;87,66;26,73;19,96;
LELLA ;2605;99;84;171;171;607;9,29;20,78;1,81;58,3;62,7;40,85;70;00:26:13;2,41;2,24;6,57;6,56;23,29;3,23;17;15;54;55;0;55;256,47;40,69;24,27;
OCCHIONI;2809;107;41;114;130;763;9,43;13,65;0;32,98;37,39;40,7;29,01;00:26:13;1,33;1,17;4,05;4,61;27,15;1,48;12;5;35;47;0;47;293,29;42,02;20,9;
PALESI;2411;92;73;91;88;434;7,93;11,37;0;14,96;25,55;46,08;21,49;00:26:13;1,06;0,62;3,77;3,63;18,01;3,01;5;0;27;30;0;30;107,16;30,21;22,93;
PISANO;1343;51;2;27;34;155;4,25;7,23;0;4,99;9,09;68,26;2,5;00:26:13;0,68;0,37;2,01;2,57;11,56;0,14;3;0;4;10;0;10;22,31;19,05;19,42;
RAGATZU;2347;90;129;99;100;424;7,79;12,48;12,99;30,51;31,01;44,52;49,69;00:26:13;1,32;1,3;4,21;4,24;18,08;5,48;5;4;29;21;0;21;137,34;31,41;26,76;
RENAULT ;3294;126;96;160;138;822;11,14;14,54;0;40,18;45,83;27,6;33,37;00:26:13;1,39;1,22;4,85;4,19;24,96;2,93;14;5;38;45;0;45;265,58;40,12;22,24;
TRAVAGLINI;2931;112;120;126;139;705;9,88;14,21;31,33;33,48;47,72;35,21;41,09;00:26:13;1,63;1,14;4,29;4,74;24,06;4,09;12;6;28;47;1;47;277,64;38,69;27,04;
UDHO;2679;102;30;119;116;511;8,96;13,3;0;29,44;27,43;38,76;31,99;00:26:13;1,02;1,1;4,44;4,31;19,07;1,13;5;5;33;32;0;32;184,58;33,23;20,99;
