;D;Drel;D_SHI;D_AccHI;D_DecHI;D_MPHI;AMP;%ED;D_S6;D_A8;D_A1;%Tempo Recupero;D_MP5;T;%D_A1;%D_A8;%D_AccHI;%D_DecHI;%D_MPHI;%D_SHI;ND_A1;NU_A8;NU_AccHI;ND_DecHI;NU_S6;ND_DecHI;D_S4;%AI;SMax (kmh);
Team Average;880;178;83;31;5;452;14,58;6,08;0;6,7;0,16;33,78;3,11;00:04:57;0,02;0,76;3,49;0,62;51,37;9,37;0;2,71;14,79;0,21;0;0,21;471,42;65,38;20,7;
ARBOLEDA;877;177;83;40;10;462;14,72;7,47;0;10,99;0,14;36,03;8,86;00:04:57;0,02;1,25;4,51;1,08;52,71;9,51;0;7;16;0;0;0;536,89;67,51;20,93;
BELLONI ;889;179;217;36;5;500;14,82;6,71;0;7,71;0,12;37,06;1,4;00:04:57;0,01;0,87;4,09;0,52;56,18;24,42;0;6;16;0;0;0;542,66;70,03;21,27;
COCCO;869;175;172;34;4;485;14,44;6,41;0;4,7;0;38,25;2,92;00:04:57;0;0,54;3,96;0,5;55,84;19,84;0;2;16;0;0;0;516,01;69,69;21,61;
DEMARCUS ;879;177;117;30;6;504;14,49;5,63;0;7,42;0,97;36,98;0,08;00:04:57;0,11;0,85;3,36;0,72;57,42;13,28;0;3;16;1;0;1;554,44;69,65;20,85;
EMERSON;890;180;251;33;7;523;14,82;6,65;0;5,92;0,19;36,83;0,26;00:04:57;0,02;0,66;3,75;0,81;58,7;28,16;0;3;16;1;0;1;502,09;71,2;22,15;
GIANDONATO;841;170;18;24;11;419;13,99;6,51;0;5,82;0,29;33,16;0,97;00:04:57;0,03;0,69;2,83;1,3;49,78;2,12;0;1;12;1;0;1;368,37;64,26;20,08;
LA ROSA ;902;182;135;37;6;468;15,07;7,07;0;10,23;0;34,02;10,05;00:04:57;0;1,13;4,15;0,69;51,94;14,98;0;2;18;0;0;0;504,76;66,74;21,29;
LELLA ;922;186;18;29;1;437;14,99;4,16;0;7,7;0;28,87;0,77;00:04:57;0;0,84;3,19;0,11;47,38;1,91;0;3;15;0;0;0;484,82;60,54;20,46;
OCCHIONI;863;174;19;20;6;426;14,16;5,13;0;2,94;0;33,49;0,87;00:04:57;0;0,34;2,3;0,7;49,37;2,23;0;0;13;0;0;0;401,39;62,78;20,56;
PALESI;867;175;9;26;5;387;14,45;6,73;0;3,1;0;31,49;6,72;00:04:57;0;0,36;3,02;0,6;44,66;0,99;0;1;7;0;0;0;418,2;60,13;19,73;
PISANO;887;179;69;33;5;481;14,69;6,07;0;7,2;0,45;32,33;3,77;00:04:57;0,05;0,81;3,68;0,6;54,21;7,73;0;1;14;0;0;0;533,77;67,86;21,92;
RAGATZU;886;179;45;32;2;461;14,56;5,2;0;4,32;0;33,3;1,83;00:04:57;0;0,49;3,63;0,19;51,96;5,11;0;1;17;0;0;0;533,21;65,54;20,56;
TRAVAGLINI;872;176;0;23;1;377;14,15;3,89;0;5,49;0;29,28;0,37;00:04:57;0;0,63;2,6;0,07;43,19;0;0;2;15;0;0;0;266,51;56,8;18,64;
UDHO;879;177;7;34;6;403;14,75;7,49;0;10,27;0,08;31,89;4,62;00:04:57;0,01;1,17;3,83;0,73;45,84;0,84;0;6;16;0;0;0;436,72;62,64;19,74;
