;D;Drel;D_SHI;D_AccHI;D_DecHI;D_MPHI;AMP;%ED;D_S6;D_A8;D_A1;%Tempo Recupero;D_MP5;T;%D_A1;%D_A8;%D_AccHI;%D_DecHI;%D_MPHI;%D_SHI;ND_A1;NU_A8;NU_AccHI;ND_DecHI;NU_S6;ND_DecHI;D_S4;%AI;SMax (kmh);
Team Average;1730;73;46;75;74;270;6,39;12,33;4,09;24,43;26,45;51,4;30,34;00:23:35;1,44;1,36;4,24;4,13;14,92;2,44;8,57;4,64;21,07;23,43;0;23,43;84,71;27,39;23,38;
ARBOLEDA;2221;94;88;121;120;418;8,49;16,55;2,4;40,17;49,75;36,21;52,52;00:23:35;2,24;1,81;5,44;5,4;18,83;3,98;16;5;30;36;0;36;155,07;33,88;24,83;
BELLONI ;2206;93;78;93;100;401;8,21;13,44;1,11;32,96;40,66;35,72;46,23;00:23:35;1,84;1,49;4,21;4,51;18,18;3,56;15;10;34;35;0;35;166,72;31,95;24,09;
COCCO;924;39;0;36;34;108;3,33;9,96;0;10,16;6,88;77,85;5,53;00:23:35;0,74;1,1;3,91;3,63;11,72;0;0;2;10;8;0;8;14,86;23,05;18,78;
DEMARCUS ;2316;98;45;87;86;348;8,43;10,97;3,54;30,54;29,45;28,34;35,5;00:23:35;1,27;1,32;3,77;3,73;15,01;1,96;9;3;21;28;0;28;115,07;27,54;24,95;
EMERSON;1502;64;37;46;51;215;5,4;9,59;6,15;12,22;19,01;58,12;11,15;00:23:35;1,27;0,81;3,07;3,42;14,3;2,49;6;0;12;19;0;19;48,6;24,36;25,11;
GIANDONATO;728;31;0;22;13;51;2,56;7,37;0;5,34;1,95;84,76;2,55;00:23:35;0,27;0,73;3,04;1,77;7,02;0;0;0;7;2;0;2;11,28;14,3;17,78;
LA ROSA ;1899;80;7;64;63;228;6,79;9,06;0;18,39;15,95;45,22;10,29;00:23:35;0,84;0,97;3,36;3,34;11,98;0,39;3;3;19;21;0;21;40,3;22,44;20,33;
LELLA ;2082;88;65;124;116;377;8,06;18,01;9,72;47,59;50,92;40,37;69,08;00:23:35;2,45;2,29;5,96;5,56;18,11;3,14;16;7;32;45;0;45;116,87;34,52;27,16;
OCCHIONI;2173;92;70;121;115;431;8,33;16,86;0;46,29;41,56;40,49;52,91;00:23:35;1,91;2,13;5,58;5,29;19,83;3,21;16;12;38;34;0;34;138,75;36,1;23,36;
PALESI;1343;57;72;55;54;213;4,88;10,89;3,23;17,04;14,03;65,05;30,22;00:23:35;1,05;1,27;4,06;4,04;15,88;5,37;3;7;15;18;0;18;82,98;28,35;24,52;
PISANO;2037;86;26;79;66;222;7,38;10,39;0;24,74;27,1;34,91;30,54;00:23:35;1,33;1,21;3,9;3,26;10,91;1,27;12;5;26;21;0;21;75,93;21,99;22,15;
RAGATZU;926;39;18;49;49;132;3,52;15,89;0;16,79;18,77;77,34;11,02;00:23:35;2,03;1,81;5,33;5,24;14,25;1,9;7;4;20;17;0;17;37,63;27,61;22,72;
TRAVAGLINI;2363;100;94;83;98;378;8,57;10,54;24,57;21,66;29,09;29,3;41,24;00:23:35;1,23;0,92;3,52;4,13;15,99;4;8;4;17;26;0;26;108,78;27,55;26,98;
UDHO;1499;64;44;62;67;253;5,56;13,03;6,6;18,11;25,2;65,89;26,05;00:23:35;1,68;1,21;4,15;4,44;16,86;2,91;9;3;14;18;0;18;73,17;29,78;24,55;
