;D;Drel;D_SHI;D_AccHI;D_DecHI;D_MPHI;AMP;%ED;D_S6;D_A8;D_A1;%Tempo Recupero;D_MP5;T;%D_A1;%D_A8;%D_AccHI;%D_DecHI;%D_MPHI;%D_SHI;ND_A1;NU_A8;NU_AccHI;ND_DecHI;NU_S6;ND_DecHI;D_S4;%AI;SMax (kmh);
Team Average;9827;109;521;409;410;2059;9,52;12,91;106,94;118,43;135,36;34,33;205,65;01:30:17;1,37;1,2;4,16;4,17;20,75;5,26;32,3;20,5;111,3;117,2;3,1;117,2;712,64;34,17;28,73;
ARBOLEDA;10605;115;854;564;573;2608;10,42;17,09;205,22;184,98;201,11;32,13;345,94;01:32:12;1,9;1,74;5,32;5,41;24,59;8,05;47;40;169;172;6;172;987,58;40,12;31,58;
BOCCIA;9903;107;432;428;396;1924;9,38;12,86;152,94;131,95;102,02;36,36;196,44;01:32:12;1,03;1,33;4,32;3,99;19,43;4,36;17;25;120;104;6;104;486,57;32,97;30,53;
CHIERICO;10678;116;377;363;403;2218;9,99;11,43;73,92;104,56;140,66;30,03;134,45;01:32:12;1,32;0,98;3,4;3,78;20,77;3,53;39;12;108;132;2;132;715,94;33,41;28,05;
EMERSON;9222;100;266;299;275;1553;8,5;9,84;0,56;74,68;75,17;39,26;88,29;01:32:12;0,82;0,81;3,24;2,99;16,84;2,89;21;10;76;72;0;72;521,72;28,26;24,08;
GIANDONATO;8986;97;110;257;282;1422;8,24;9,17;0,28;65,69;75,31;37,57;72,44;01:32:11;0,84;0,73;2,86;3,14;15,82;1,22;14;6;70;81;0;81;449,26;26,5;24,03;
LA ROSA ;11364;123;374;372;329;2575;10,5;10,06;62,85;82,66;90,95;27,95;104,17;01:32:12;0,8;0,73;3,28;2,89;22,66;3,29;18;9;81;86;2;86;926,69;35,43;28,52;
LELLA ;8916;122;775;442;467;2361;11;16,66;134,48;144;179,47;29,44;290,98;01:13:10;2,01;1,62;4,96;5,24;26,48;8,69;45;26;122;148;3;148;918,06;42;30,52;
RAGATZU;9484;103;820;432;476;1977;9,08;14;171,89;119,71;168,92;35,37;309,15;01:32:12;1,78;1,26;4,55;5,02;20,84;8,65;46;23;120;134;4;134;835,51;34,48;30,93;
TRAVAGLINI;9895;107;528;440;409;2139;9,39;13,08;35,94;111,32;134,59;35,9;163,73;01:32:12;1,36;1,13;4,45;4,13;21,62;5,34;33;18;114;121;1;121;665,47;35,28;27,89;
UDHO;9214;100;670;496;487;1810;8,96;15,67;231,32;164,78;185,41;38,33;350,87;01:32:06;2,01;1,79;5,38;5,29;19,64;7,27;43;36;133;122;7;122;619,64;34,84;31,15;
