;D;Drel;D_SHI;D_AccHI;D_DecHI;D_MPHI;AMP;%ED;D_S6;D_A8;D_A1;%Tempo Recupero;D_MP5;T;%D_A1;%D_A8;%D_AccHI;%D_DecHI;%D_MPHI;%D_SHI;ND_A1;NU_A8;NU_AccHI;ND_DecHI;NU_S6;ND_DecHI;D_S4;%AI;SMax (kmh);
Team Average;5644;92;174;180;151;1258;7,71;8,08;8,72;47,48;41,88;49,25;50,98;01:01:25;0,71;0,8;3,03;2,55;21,32;2,91;8,73;7,67;52,67;43,27;0,27;43,27;983,62;31,2;23,57;
ARBOLEDA;6472;100;341;247;220;1543;8,56;10,95;19,28;77,85;63,68;44,15;80,45;01:04:55;0,98;1,2;3,82;3,39;23,84;5,28;10;21;77;67;1;67;1143,71;35,67;31,06;
BELLONI ;6683;103;454;224;191;1602;8,68;8,95;0;62,23;59,46;42,45;76,74;01:04:55;0,89;0,93;3,36;2,87;23,97;6,79;12;12;69;57;0;57;1186,28;34,89;23,69;
COCCO;5822;90;323;182;140;1316;7,45;7,36;0;36,35;41,5;51,07;37,38;01:04:55;0,71;0,62;3,12;2,4;22,6;5,55;10;5;49;48;0;48;1109,24;32,08;22,66;
DEMARCUS ;6197;95;213;230;204;1560;8,16;10,41;20,83;70,08;74,94;48,43;87,37;01:04:55;1,21;1,13;3,71;3,29;25,18;3,44;21;11;74;64;1;64;1230,35;36,63;28,15;
EMERSON;6264;96;207;158;142;1297;7,94;6,26;17,39;32,31;32,05;45,48;27,6;01:04:55;0,51;0,52;2,53;2,27;20,71;3,31;7;3;45;45;1;45;1159,25;28,56;28,46;
EVRALD;13;0;0;0;0;0;0,03;0,61;0;0;0;99,99;0;00:38:45;0;0;0;0,08;0;0;0;0;0;0;0;0;0;0;3;
GIANDONATO;5482;84;13;99;90;1009;6,86;5,02;0;16,53;18,63;51,99;12,12;01:04:55;0,34;0,3;1,81;1,63;18,4;0,23;3;1;15;25;0;25;847,29;25,42;21,36;
LA ROSA ;6372;98;41;136;98;1195;8,01;5,43;0;28,48;20,33;44,43;16,47;01:04:55;0,32;0,45;2,14;1,54;18,76;0,64;4;3;29;20;0;20;967,02;26,93;21,77;
LELLA ;6742;104;294;285;232;1572;8,94;11,23;17,3;94,54;70,3;42,85;94,9;01:04:55;1,04;1,4;4,22;3,44;23,31;4,36;14;13;92;75;0;75;1221,69;35,79;25,99;
OCCHIONI;6318;97;47;201;176;1335;8,18;8,56;0;52,04;44,91;45,83;27,19;01:04:55;0,71;0,82;3,18;2,79;21,13;0,74;9;4;72;54;0;54;961,69;31,77;22,98;
PALESI;6349;98;250;201;160;1427;8,2;8,4;9,93;53;45,29;46,85;59,39;01:04:55;0,71;0,83;3,16;2,53;22,47;3,93;12;11;63;50;0;50;1117,49;33,06;27,14;
PISANO;3722;96;6;77;40;892;7,73;3,52;0;12,41;4,37;49,95;10,48;00:38:34;0,12;0,33;2,07;1,07;23,97;0,17;0;0;25;9;0;9;903,08;31,85;19,48;
RAGATZU;5820;90;166;212;180;1351;7,57;9,05;35,71;58,3;51,49;51,47;80,82;01:04:55;0,88;1;3,65;3,1;23,21;2,86;11;12;58;47;1;47;1070,07;33,68;28,31;
TRAVAGLINI;6431;99;109;215;185;1439;8,37;9,14;0;53,67;42,05;45,1;56,08;01:04:55;0,65;0,83;3,34;2,87;22,37;1,7;8;7;59;38;0;38;990,53;33,94;23,99;
UDHO;5970;92;139;226;205;1331;7,93;11,46;10,38;64,39;59,19;49,41;97,64;01:04:55;0,99;1,08;3,78;3,43;22,3;2,34;10;12;63;50;0;50;846,64;35,43;25,51;
