;D;Drel;D_SHI;D_AccHI;D_DecHI;D_MPHI;AMP;%ED;D_S6;D_A8;D_A1;%Tempo Recupero;D_MP5;T;%D_A1;%D_A8;%D_AccHI;%D_DecHI;%D_MPHI;%D_SHI;ND_A1;NU_A8;NU_AccHI;ND_DecHI;NU_S6;ND_DecHI;D_S4;%AI;SMax (kmh);
Team Average;1171;182;87;32;32;479;15,38;9,24;2,38;8,83;8,19;17,49;12,01;00:06:26;0,69;0,75;2,72;2,73;40,49;7,12;2,86;3;9,43;12;0,07;12;419,06;53,77;21,81;
ARBOLEDA;1204;187;39;32;37;469;15,86;9,62;0;7,73;11,32;12,38;7,09;00:06:26;0,94;0,64;2,69;3,1;38,97;3,2;4;3;9;15;0;15;409,25;52,43;20,98;
BIANCU;1192;185;100;34;29;488;15,7;9,57;0;9,86;8,51;15,79;13,31;00:06:26;0,71;0,83;2,87;2,43;40,94;8,38;4;5;10;12;0;12;405,85;55;22,98;
BRIGNANI;1255;195;125;34;39;562;16,65;10,42;0;11,78;15,48;13,01;11,36;00:06:26;1,23;0,94;2,72;3,11;44,76;9,95;10;6;9;17;0;17;563,95;56,47;21,66;
CHIERICO;1214;188;147;45;38;515;16,16;10,81;0;8,95;10,28;15,08;19,25;00:06:26;0,85;0,74;3,72;3,13;42,4;12,12;3;4;12;11;0;11;467,14;56,62;22,72;
DEMARCUS ;1194;185;13;26;32;485;15,58;8,69;0;8,22;10,75;14,26;6,52;00:06:26;0,9;0,69;2,17;2,68;40,66;1,09;3;1;9;13;0;13;474,24;52,93;19,45;
EMERSON;1246;193;89;28;34;538;16,28;8,75;0;11,36;7,69;13,42;9,34;00:06:26;0,62;0,91;2,24;2,75;43,15;7,17;6;1;12;13;0;13;572,45;55,28;20,83;
GIANDONATO;502;78;9;12;11;162;6,5;7,67;0;3,69;2,55;63,88;3,49;00:06:26;0,51;0,73;2,43;2,12;32,15;1,78;0;1;4;5;0;5;117,02;45,07;19,85;
LA ROSA ;1217;189;58;42;41;501;16,25;11,19;0;14,59;9,21;14,7;13,94;00:06:26;0,76;1,2;3,43;3,34;41,21;4,77;1;3;12;11;0;11;510,84;56,07;20,08;
LELLA ;1267;197;31;26;18;495;16,15;6,09;0;7,17;3,36;10,26;5,21;00:06:26;0,26;0,57;2,03;1,39;39,06;2,46;0;5;8;8;0;8;445,11;51,58;20,96;
PALESI;1191;185;32;24;29;457;15,47;8,1;0;4,11;6,11;13,87;7,49;00:06:26;0,51;0,34;1,98;2,46;38,36;2,71;1;0;7;13;0;13;329,34;51,9;22,84;
RAGATZU;1253;194;82;29;27;497;16,06;6,66;0;5,97;3,66;12,47;8,09;00:06:26;0,29;0,48;2,31;2,18;39,66;6,56;1;2;8;12;0;12;489,1;51,88;21,29;
RENAULT ;1263;196;368;46;45;610;17,11;12,78;33,29;12,05;16,12;16,45;37,69;00:06:26;1,28;0,95;3,61;3,59;48,29;29,13;5;5;13;16;1;16;360,52;61,32;26,62;
TRAVAGLINI;1189;185;32;34;25;426;15,37;7,57;0;6,89;2,18;13,82;9,89;00:06:26;0,18;0,58;2,84;2,07;35,8;2,71;1;2;9;6;0;6;284,3;49,76;22,96;
UDHO;1206;187;92;36;46;500;16,15;11,47;0;11,25;7,37;15,45;15,48;00:06:26;0,61;0,93;2,96;3,81;41,5;7,6;1;4;10;16;0;16;437,72;56,41;22,14;
