;D;Drel;D_SHI;D_AccHI;D_DecHI;D_MPHI;AMP;%ED;D_S6;D_A8;D_A1;%Tempo Recupero;D_MP5;T;%D_A1;%D_A8;%D_AccHI;%D_DecHI;%D_MPHI;%D_SHI;ND_A1;NU_A8;NU_AccHI;ND_DecHI;NU_S6;ND_DecHI;D_S4;%AI;SMax (kmh);
Team Average;6256;77;536;327;278;1345;6,82;14,62;208,64;93,63;86,38;55,78;187,08;01:21:25;1,36;1,48;5,19;4,41;21,34;8,54;18,5;16,19;99,88;71,12;6,62;71,12;385,53;35,61;29,99;
ARBOLEDA;6542;80;702;431;389;1719;7,4;18,95;266,67;124,44;134,77;55,42;279,34;01:21:25;2,06;1,9;6,59;5,94;26,27;10,73;29;26;136;100;8;100;559,29;42,89;31,3;
BIANCU;6626;81;635;351;296;1464;7,24;14,96;263,65;101,23;89,37;53,95;214,85;01:21:25;1,35;1,53;5,3;4,46;22,1;9,59;21;13;101;83;8;83;387,82;37,04;30,76;
BOCCIA;6485;80;578;407;334;1439;7,23;17,3;310,88;125,98;111,46;54,52;257,28;01:21:25;1,72;1,94;6,27;5,15;22,2;8,92;16;25;126;89;9;89;387,24;37,78;32,48;
BRIGNANI;6073;75;551;326;289;1291;6,61;14,55;189,37;79,72;65,12;56,77;162,34;01:21:25;1,07;1,31;5,36;4,76;21,26;9,08;14;17;103;73;6;73;373,97;35,28;29,42;
CHIERICO;6592;81;566;345;305;1582;7,21;15,09;168,26;94,52;95,5;53,38;188,22;01:21:25;1,45;1,43;5,23;4,63;23,99;8,59;21;17;98;90;5;90;546,7;38,88;29,5;
DEMARCUS ;6388;78;586;380;312;1463;7,08;16,55;288,22;122,16;108,83;55,13;234,18;01:21:25;1,7;1,91;5,95;4,89;22,9;9,18;20;25;124;75;8;75;387,15;38,66;30,98;
EMERSON;5916;73;494;236;190;1027;6,22;10,68;257,36;57,74;46,28;56,89;138,65;01:21:25;0,78;0,98;3,99;3,22;17,37;8,36;8;8;66;48;8;48;239,76;28,84;31,27;
GIANDONATO;5274;65;374;184;134;769;5,48;9,25;99,15;44,49;37,92;60,95;86,28;01:21:25;0,72;0,84;3,49;2,53;14,59;7,09;7;10;60;34;3;34;214,07;24,46;27,61;
LELLA ;6881;85;554;374;332;1534;7,64;16,81;202,98;137,6;112,65;50,95;235;01:21:25;1,64;2;5,44;4,82;22,29;8,05;23;24;122;86;9;86;481,53;38,22;29,71;
MANCINI;6229;76;540;337;291;1447;6,8;14,86;173,99;91,95;76,76;56,62;158,75;01:21:25;1,23;1,48;5,4;4,67;23,23;8,67;21;18;103;71;6;71;395,74;38,48;28,21;
OCCHIONI;6877;84;567;378;334;1649;7,57;15,75;154,84;103,24;101,14;52,41;199,88;01:21:25;1,47;1,5;5,5;4,86;23,98;8,24;31;15;110;88;3;88;512,58;39,46;30,41;
PALESI;6265;77;442;253;210;1255;6,63;11,39;117,28;63,65;70,75;56,66;120,59;01:21:25;1,13;1,02;4,04;3,35;20,03;7,05;23;12;84;61;4;61;355,73;32,62;28,5;
PISANO;5779;71;495;305;247;1166;6,28;14,29;272,16;77,01;84,72;58,29;182,05;01:21:25;1,47;1,33;5,28;4,28;20,18;8,56;20;9;94;62;10;62;276,91;33,99;30,35;
RAGATZU;5501;68;441;261;222;1025;5,9;12,87;183,36;71,21;65,18;59,24;143,92;01:21:25;1,18;1,29;4,74;4,03;18,64;8,01;11;12;86;53;7;53;268,29;31,25;29,3;
TRAVAGLINI;6563;81;565;346;297;1414;7,21;15,57;240,01;107,72;97,23;54,4;218,54;01:21:25;1,48;1,64;5,27;4,52;21,55;8,62;16;15;101;65;8;65;376,07;36,45;30,5;
UDHO;6103;75;486;317;268;1275;6,68;15,07;150,11;95,36;84,38;56,92;173,39;01:21:25;1,38;1,56;5,2;4,4;20,88;7,96;15;13;84;60;4;60;405,7;35,43;29,62;
