;D;Drel;D_SHI;D_AccHI;D_DecHI;D_MPHI;AMP;%ED;D_S6;D_A8;D_A1;%Tempo Recupero;D_MP5;T;%D_A1;%D_A8;%D_AccHI;%D_DecHI;%D_MPHI;%D_SHI;ND_A1;NU_A8;NU_AccHI;ND_DecHI;NU_S6;ND_DecHI;D_S4;%AI;SMax (kmh);
Team Average;1494;208;102;26;16;560;16,84;4,63;0,32;6,48;2,99;7,57;7,9;00:07:11;0,2;0,43;1,72;1,09;37,42;6,74;0,65;1,29;8,71;5,41;0;5,41;451,19;49,07;21,62;
ARBOLEDA;1508;210;217;23;22;617;17,21;5,9;0;6,43;2,69;6,05;9,21;00:07:11;0,18;0,43;1,52;1,43;40,9;14,42;1;2;7;7;0;7;467,52;53,34;21,83;
BOCCIA;1528;213;132;37;19;629;17,37;5,5;0;11,01;7,11;9,4;10,54;00:07:11;0,47;0,72;2,41;1,24;41,17;8,66;4;4;18;10;0;10;587,5;53,17;21,53;
BRIGNANI;1538;214;220;29;14;622;17,3;4,45;0;7,64;4,18;6,3;10,14;00:07:11;0,27;0,5;1,9;0,91;40,47;14,3;3;4;12;10;0;10;563,61;51,51;22,47;
CHIERICO;1504;209;128;25;18;595;17,07;5,31;0;4,16;3,46;8,74;7,76;00:07:11;0,23;0,28;1,66;1,18;39,57;8,49;0;0;6;6;0;6;506,06;52;22,51;
DEMARCUS ;1505;209;18;21;15;561;16,65;2,73;0;4,2;2,6;7,83;2,11;00:07:11;0,17;0,28;1,39;0,98;37,27;1,19;1;0;6;5;0;5;471,7;46,67;20,03;
EMERSON;1508;210;237;26;13;591;17;4,66;0;6,06;1,05;8,65;11,34;00:07:11;0,07;0,4;1,7;0,84;39,23;15,73;0;1;8;1;0;1;490,77;50,75;22,24;
GIANDONATO;1402;194;4;11;9;438;15,5;3,06;0;1,06;0,97;6,7;0,85;00:07:12;0,07;0,08;0,77;0,63;31,23;0,3;0;0;1;1;0;1;347,75;41,22;19,5;
LA ROSA ;1503;209;62;33;19;555;16,97;4,83;0;8,32;1,15;8,3;12,01;00:07:11;0,08;0,55;2,22;1,25;36,9;4,16;0;1;11;3;0;3;465,47;49,28;21,16;
LELLA ;1555;216;149;20;10;599;17,16;2,42;5,4;4,49;2,49;7,1;3,23;00:07:11;0,16;0,29;1,28;0,63;38,54;9,6;0;0;10;5;0;5;569,89;47,84;25,03;
MANCINI;1459;203;58;26;19;539;16,66;5,99;0;5,23;4,23;7,44;6,11;00:07:11;0,29;0,36;1,77;1,27;36,96;3,96;0;2;9;7;0;7;463,98;50,01;20,58;
OCCHIONI;1500;209;8;22;23;576;16,9;4,6;0;4,67;3,37;7,37;2,93;00:07:11;0,22;0,31;1,47;1,5;38,43;0,5;0;0;10;7;0;7;427,82;50,3;19,64;
PALESI;1463;204;15;16;18;478;16,37;3,91;0;4,7;4,25;6,92;3,16;00:07:11;0,29;0,32;1,08;1,23;32,67;1,01;0;1;7;11;0;11;333,08;43,68;21,29;
PISANO;1490;207;84;39;28;533;17,15;6,85;0;11,2;3,69;7,95;18,16;00:07:11;0,25;0,75;2,6;1,88;35,77;5,63;0;2;12;4;0;4;394,43;49,84;22,59;
RAGATZU;1502;209;97;32;13;568;16,97;4,88;0;9,64;3,05;8,75;8,57;00:07:11;0,2;0,64;2,1;0,86;37,82;6,46;1;1;11;3;0;3;409,4;50,55;22,09;
RENAULT ;1532;213;206;29;15;660;17,23;4,39;0;7,42;4,19;8,8;10,9;00:07:11;0,27;0,48;1,86;0,98;43,1;13,45;1;0;5;7;0;7;490,59;54,13;21,17;
TRAVAGLINI;1470;205;51;25;10;472;16,36;3,35;0;5,08;1,98;5,68;6,37;00:07:11;0,14;0,35;1,68;0,69;32,09;3,44;0;0;6;3;0;3;402,25;42,56;21,14;
UDHO;1432;199;48;26;14;487;16,34;5,95;0;8,92;0,34;6,67;10,94;00:07:11;0,02;0,62;1,82;0,96;34,03;3,38;0;4;9;2;0;2;278,42;47,33;22,75;
