;D;Drel;D_SHI;D_AccHI;D_DecHI;D_MPHI;AMP;%ED;D_S6;D_A8;D_A1;%Tempo Recupero;D_MP5;T;%D_A1;%D_A8;%D_AccHI;%D_DecHI;%D_MPHI;%D_SHI;ND_A1;NU_A8;NU_AccHI;ND_DecHI;NU_S6;ND_DecHI;D_S4;%AI;SMax (kmh);
Team Average;1631;100;38;93;90;291;9,07;16,96;3,98;29,11;29,86;37,89;31,41;00:16:19;1,77;1,75;5,6;5,42;17,38;2,16;7,12;5,56;27,75;27,75;0;27,75;77,88;31,99;22,59;
ARBOLEDA;1717;101;77;131;135;358;9,74;24,74;4,69;51,38;53,7;39,61;71,43;00:17:01;3,13;2,99;7,66;7,88;20,87;4,47;12;11;37;47;0;47;124,24;39,07;26,31;
BOCCIA;1885;111;50;128;132;404;10,41;21,52;11,49;45,34;49,15;31,44;49,53;00:17:01;2,61;2,41;6,82;7,02;21,45;2,66;9;9;44;37;0;37;81,76;38,55;25,1;
BRIGNANI;1658;97;8;79;66;225;8,49;12,59;0;18,23;16,64;35,77;12,14;00:17:01;1;1,1;4,74;3,99;13,55;0,46;3;3;22;16;0;16;21,23;25,71;22,14;
CHIERICO;1848;109;65;116;105;370;9,91;18,01;0;34,32;37,18;33,26;44,23;00:17:01;2,01;1,86;6,29;5,69;20,01;3,54;12;5;34;29;0;29;106,67;36,38;23,4;
DEMARCUS ;1117;113;29;71;79;243;10,7;22,13;10,95;22,99;31,58;31,82;29,06;00:09:52;2,83;2,06;6,35;7,09;21,76;2,64;9;4;19;31;0;31;67,49;38,91;26,88;
EMERSON;1505;88;2;50;53;175;7,58;10,79;0;12,01;11,35;41,78;8,05;00:17:01;0,75;0,8;3,31;3,53;11,66;0,12;2;3;14;14;0;14;41,13;21,46;19,26;
GIANDONATO;1512;89;0;49;48;177;7,53;9,64;0;13,63;10,78;40,64;4,94;00:17:01;0,71;0,9;3,21;3,17;11,71;0;3;2;13;13;0;13;15,94;21,79;17,25;
LA ROSA ;1578;93;0;48;45;161;7,85;9,49;0;9,65;8,77;38,07;2,66;00:17:01;0,56;0,61;3,03;2,83;10,18;0;3;1;11;10;0;10;7,18;19,53;17,63;
MANCINI;1691;99;42;113;102;311;9,22;20;0;34,99;39,54;37,27;36,41;00:17:01;2,34;2,07;6,66;6,05;18,38;2,48;10;10;31;32;0;32;109,87;34,76;21,63;
OCCHIONI;1972;116;66;147;155;457;10,94;22,08;0;40,83;54,22;29,06;42,08;00:17:01;2,75;2,07;7,45;7,85;23,19;3,34;15;5;44;51;0;51;115,4;41,04;22,68;
PALESI;1267;97;19;64;66;205;8,67;15,31;0;17,04;19,51;40,12;12,95;00:13:02;1,54;1,34;5,04;5,18;16,15;1,46;5;4;17;26;0;26;61,14;29,43;21,06;
PISANO;1495;88;15;92;78;241;8,04;18,27;0;31,77;26,25;48,31;29,16;00:17:01;1,76;2,12;6,18;5,22;16,12;0,99;7;8;34;24;0;24;51,62;31,7;22,48;
RAGATZU;1482;87;44;91;86;244;7,91;17,5;20,27;33,52;26,78;45,34;44,49;00:17:01;1,81;2,26;6,15;5,77;16,44;2,99;5;8;28;26;0;26;85,12;31,91;26,71;
RENAULT ;1972;116;70;126;124;455;10,85;21,03;0;46,8;43,65;30,99;49,33;00:17:01;2,21;2,37;6,41;6,3;23,04;3,54;12;7;42;46;0;46;145,75;40,5;23,19;
TRAVAGLINI;2020;119;117;127;115;487;10,85;18,16;16,3;36,85;35,61;30,63;55,57;00:17:01;1,76;1,82;6,28;5,67;24,1;5,79;6;7;33;29;0;29;191,15;41,19;26,71;
UDHO;1373;81;1;58;56;151;6,98;11,86;0;16,42;13,08;50,07;10,47;00:17:01;0,95;1,2;4,26;4,08;10,97;0,04;1;2;21;13;0;13;20,46;22,2;19,09;
