;D;Drel;D_SHI;D_AccHI;D_DecHI;D_MPHI;AMP;%ED;D_S6;D_A8;D_A1;%Tempo Recupero;D_MP5;T;%D_A1;%D_A8;%D_AccHI;%D_DecHI;%D_MPHI;%D_SHI;ND_A1;NU_A8;NU_AccHI;ND_DecHI;NU_S6;ND_DecHI;D_S4;%AI;SMax (kmh);
Team Average;883;69;5;58;37;165;6,19;15,89;0;17,44;8,92;61,47;6,23;00:12:47;1,01;1,97;6,6;4,24;18,69;0,54;0,47;3,76;29,35;7,88;0;7,88;45,52;33,96;19,37;
ARBOLEDA;938;73;10;70;44;180;6,64;16,95;0;21,85;9,7;59,25;6,52;00:12:47;1,03;2,33;7,48;4,74;19,22;1,09;1;6;39;10;0;10;60,17;35,4;20,99;
BOCCIA;866;68;12;73;51;186;6,39;21,99;0;24,46;17,1;63,45;11,66;00:12:47;1,97;2,82;8,45;5,89;21,43;1,33;2;7;36;17;0;17;63,86;39,54;21,29;
BRIGNANI;927;72;0;57;30;190;6,37;13,59;0;16,85;6,49;61,01;2,03;00:12:47;0,7;1,82;6,17;3,26;20,51;0;0;2;34;6;0;6;22,2;35,23;17,75;
CHIERICO;856;67;1;45;26;141;5,8;11,96;0;10,81;6,11;62,76;2,71;00:12:47;0,71;1,26;5,27;3;16,42;0,16;0;0;20;3;0;3;39,17;29,54;19,36;
DEMARCUS ;794;62;1;44;27;155;5,48;14,08;0;10,87;5,9;66,37;2,68;00:12:47;0,74;1,37;5,54;3,46;19,58;0,11;0;1;24;6;0;6;47,18;33,64;19,14;
EMERSON;1020;80;2;78;50;201;7,27;17,75;0;22,78;13,97;54,89;2,57;00:12:47;1,37;2,23;7,67;4,87;19,75;0,23;0;6;43;13;0;13;50,19;36;20,25;
GIANDONATO;891;70;0;56;34;132;6,22;15,33;0;20,42;7,57;58,86;8,89;00:12:47;0,85;2,29;6,29;3,78;14,81;0;0;7;26;6;0;6;27,08;29,74;17,59;
LA ROSA ;969;76;0;48;25;133;6,5;10,93;0;11,37;3,49;53,48;0,65;00:12:47;0,36;1,17;4,95;2,63;13,7;0;0;0;21;2;0;2;12,15;25,65;18;
LELLA ;893;70;1;65;35;162;6,29;16,4;0;21,56;9,79;61,55;8,02;00:12:47;1,1;2,42;7,33;3,88;18,15;0,16;1;3;32;10;0;10;51,25;34,42;19,4;
MANCINI;832;65;11;61;35;178;5,86;16,3;0;18,5;7,28;64,6;7,85;00:12:47;0,87;2,22;7,32;4,16;21,42;1,31;1;6;29;8;0;8;99,56;38,12;20,26;
OCCHIONI;837;65;3;50;33;155;5,8;14,41;0;11,89;6,88;63,57;3,05;00:12:47;0,82;1,42;5,92;3,92;18,52;0,31;0;1;27;6;0;6;40,46;33,42;19,48;
PALESI;853;67;0;47;28;158;5,87;13,68;0;13,55;5,72;64,09;3,07;00:12:47;0,67;1,59;5,56;3,33;18,52;0;0;6;26;6;0;6;52,17;32,42;18,31;
PISANO;919;72;0;60;42;195;6,46;16,21;0;15,59;9,38;57,89;4,97;00:12:47;1,02;1,7;6,58;4,56;21,23;0;0;4;30;11;0;11;36,67;36,89;18,84;
RAGATZU;883;69;36;78;63;188;6,54;22,36;0;26,66;17,93;61,27;23,99;00:12:47;2,03;3,02;8,82;7,11;21,27;4,1;2;4;36;15;0;15;74,17;39,2;22,24;
RENAULT ;833;65;0;46;33;155;5,76;14,27;0;11,55;7,75;64,74;0,81;00:12:47;0,93;1,39;5,49;4,02;18,67;0;0;3;29;3;0;3;40,31;32,28;18,66;
TRAVAGLINI;893;70;3;59;47;163;6,37;18,01;0;23,14;8,77;61,13;11,23;00:12:47;0,98;2,59;6,67;5,25;18,22;0,39;1;5;25;6;0;6;46,49;34,39;20,19;
UDHO;813;64;0;55;34;133;5,7;15,93;0;14,57;7,9;66;5,26;00:12:47;0,97;1,79;6,74;4,23;16,31;0;0;3;22;6;0;6;10,76;31,37;17,63;
