;D;Drel;D_SHI;D_AccHI;D_DecHI;D_MPHI;AMP;%ED;D_S6;D_A8;D_A1;%Tempo Recupero;D_MP5;T;%D_A1;%D_A8;%D_AccHI;%D_DecHI;%D_MPHI;%D_SHI;ND_A1;NU_A8;NU_AccHI;ND_DecHI;NU_S6;ND_DecHI;D_S4;%AI;SMax (kmh);
Team Average;1577;112;79;120;117;408;10,67;22,94;9,05;36,2;43,4;34,89;50,65;00:14:04;2,75;2,29;7,55;7,43;25,59;4,93;10,82;5,59;33,76;37,18;0;37,18;145,96;43,68;25,15;
ARBOLEDA;1571;115;117;130;127;440;11,27;26,09;28,71;39,46;59,89;35,24;63,06;00:13:36;3,81;2,51;8,27;8,1;28;7,47;17;7;43;41;0;41;122,64;46,27;26,34;
BOCCIA;1796;129;175;157;154;566;12,59;25,77;32,35;53,07;54,47;29,53;93,02;00:13:52;3,03;2,96;8,75;8,56;31,49;9,72;15;7;52;43;0;43;248,21;51,64;26,83;
BRIGNANI;1681;120;62;113;113;443;11,2;20,85;0;33,86;38,85;28,76;34,56;00:14:02;2,31;2,01;6,72;6,72;26,34;3,67;13;6;30;39;0;39;166,79;44;22,26;
CHIERICO;1645;119;70;128;120;414;11,45;23,95;6,79;45,16;50,57;27,88;65,61;00:13:47;3,07;2,74;7,76;7,32;25,15;4,24;13;8;36;33;0;33;184,85;43,92;24,96;
DEMARCUS ;1628;100;38;122;129;386;9,8;26,17;0;50,9;48,43;40,31;49,2;00:16:12;2,97;3,13;7,5;7,95;23,68;2,32;16;12;45;51;0;51;104,91;43,27;23,3;
EMERSON;1449;102;86;105;106;352;9,7;22,66;3,2;26,96;44,29;39,33;43,17;00:14:10;3,06;1,86;7,23;7,34;24,32;5,93;10;2;33;39;0;39;143,31;41,14;24,22;
GIANDONATO;1319;93;17;83;83;252;8,49;18,41;0;19,19;24,83;42,73;11,89;00:14:14;1,88;1,45;6,3;6,27;19,11;1,31;3;4;21;22;0;22;47,16;34,84;21,82;
LA ROSA ;1576;112;41;97;84;348;10,13;16,66;6,48;22,89;19,11;33,53;28,17;00:14:03;1,21;1,45;6,12;5,33;22,07;2,6;3;1;23;14;0;14;86,17;38,4;24,72;
LELLA ;1335;114;57;98;107;359;10,96;24,23;8,06;24,08;44,19;32,05;39,2;00:11:42;3,31;1,8;7,37;7,98;26,88;4,25;9;3;29;39;0;39;118,55;44,49;27,01;
MANCINI;1650;115;100;133;124;445;10,91;22,76;12,88;41,58;40,27;35,74;56,81;00:14:22;2,44;2,52;8,06;7,54;26,95;6,04;12;8;33;42;0;42;178,98;45,44;27,3;
OCCHIONI;1749;123;90;149;153;533;11,99;26,42;5,3;50,79;64,83;32,53;65,49;00:14:16;3,71;2,9;8,54;8,74;30,46;5,12;15;10;47;57;0;57;237,12;49,83;25,51;
PALESI;1477;106;22;89;84;316;9,69;18,18;0;24,08;29,46;38,36;21,95;00:13:56;1,99;1,63;6,05;5,71;21,37;1,48;7;1;29;30;0;30;86,62;37,54;22,2;
PISANO;1600;113;110;120;116;449;10,69;22,7;2,12;32,62;42,94;37,1;66,12;00:14:12;2,68;2,04;7,47;7,26;28,04;6,86;12;7;33;35;0;35;170,81;46,51;24,74;
RAGATZU;1305;93;53;107;108;288;8,94;24,37;3,03;36,16;43,1;41,34;38,59;00:14:03;3,3;2,77;8,16;8,31;22,07;4,09;10;5;28;41;0;41;117,02;40,13;25,99;
RENAULT ;1752;126;98;141;132;471;12,01;23,21;6,33;41,14;46,65;26,78;56,59;00:13:54;2,66;2,35;8,05;7,56;26,9;5,57;11;6;31;43;0;43;192,73;45,39;25,67;
TRAVAGLINI;1748;125;97;124;119;497;11,69;21,1;7,83;32,17;36,69;30,95;48,23;00:14:01;2,1;1,84;7,11;6,8;28,44;5,58;6;4;31;26;0;26;163,22;46,74;27,22;
UDHO;1535;105;120;136;135;375;10,22;26,15;30,86;41,33;49,28;39;79,38;00:14:40;3,21;2,69;8,86;8,79;24,44;7,79;12;4;30;37;0;37;112,23;43,34;27,51;
