;D;Drel;D_SHI;D_AccHI;D_DecHI;D_MPHI;AMP;%ED;D_S6;D_A8;D_A1;%Tempo Recupero;D_MP5;T;%D_A1;%D_A8;%D_AccHI;%D_DecHI;%D_MPHI;%D_SHI;ND_A1;NU_A8;NU_AccHI;ND_DecHI;NU_S6;ND_DecHI;D_S4;%AI;SMax (kmh);
Team Average;482;68;89;61;52;142;7,24;37,09;11,32;29,62;22,23;63,88;50,23;00:07:03;4,66;6,17;12,73;10,88;29,35;18,31;6,23;9,62;20,77;16,15;0;16,15;57,98;54,38;24,91;
ARBOLEDA;526;73;106;71;57;149;7,91;39,12;15,24;41,18;21,1;60,29;56,45;00:07:09;4,01;7,83;13,49;10,84;28,36;20,1;9;14;25;22;0;22;63,4;55,01;25,48;
BIANCU;457;64;64;53;42;122;6,61;32,39;0;22,45;17,61;67,89;36,39;00:07:04;3,86;4,92;11,7;9,29;26,69;13,96;3;9;19;14;0;14;53,98;49,61;23,98;
BOCCIA;452;64;83;59;57;140;7,17;45,3;3,08;35,59;29,55;65,94;47,96;00:07:04;6,54;7,88;13,13;12,59;30,98;18,33;8;13;20;18;0;18;55,87;57,13;24,46;
BRIGNANI;534;75;128;70;52;162;8,09;38,51;29,73;36,2;21,37;58,83;64,8;00:07:04;4;6,78;13,17;9,76;30,35;24,03;6;13;24;17;0;17;57,78;56,42;25,97;
CHIERICO;456;65;75;59;54;132;6,97;38,72;8,11;29,08;21,05;68,88;50,3;00:07:01;4,62;6,38;13,03;11,84;29,03;16,51;3;9;21;13;0;13;59,56;54,93;24,56;
DEMARCUS ;420;59;80;60;52;135;6,51;41,68;4,19;25,83;22,72;68;50,26;00:07:04;5,41;6,15;14,16;12,49;32,13;19,02;6;5;19;15;0;15;54,11;57,44;24,37;
EMERSON;501;71;110;64;65;169;7,72;41,11;27,7;29,84;25,57;65,61;64,44;00:07:04;5,11;5,96;12,87;12,94;33,8;21,87;6;11;21;19;0;19;64,17;59,06;25,62;
LA ROSA ;538;76;93;60;39;158;7,59;29,1;6,43;20,47;22,11;55,33;45,22;00:07:04;4,11;3,8;11,18;7,28;29,44;17,24;5;5;22;8;0;8;72,38;51,59;25,31;
MANCINI;492;71;120;62;55;153;7,3;33,25;22,21;26,61;18,66;65,41;55,97;00:06:57;3,79;5,4;12,6;11,22;31,03;24,39;8;7;18;18;0;18;54,69;54,78;25,45;
OCCHIONI;458;65;75;63;53;125;6,85;36,96;9,03;32,27;20,16;64,97;46,55;00:07:04;4,4;7,05;13,66;11,58;27,39;16,39;6;9;22;18;0;18;46,99;52,82;24,87;
PALESI;538;76;100;62;50;150;7,91;34,59;17,77;30,13;19,05;57,95;51,88;00:07:04;3,54;5,6;11,62;9,23;27,92;18,56;4;7;20;16;0;16;69,77;53,11;25,84;
RAGATZU;447;63;63;53;46;120;6,65;36,12;0;26,18;23,51;64,46;36,21;00:07:04;5,26;5,86;11,97;10,23;26,97;14,15;10;11;22;18;0;18;55,86;50,98;23,52;
TRAVAGLINI;449;65;60;58;55;123;6,79;35,13;3,63;29,29;26,56;67,02;46,57;00:06:55;5,92;6,52;12,85;12,17;27,45;13,38;7;12;17;14;0;14;45,17;54,02;24,43;
