;D;Drel;D_SHI;D_AccHI;D_DecHI;D_MPHI;AMP;%ED;D_S6;D_A8;D_A1;%Tempo Recupero;D_MP5;T;%D_A1;%D_A8;%D_AccHI;%D_DecHI;%D_MPHI;%D_SHI;ND_A1;NU_A8;NU_AccHI;ND_DecHI;NU_S6;ND_DecHI;D_S4;%AI;SMax (kmh);
Team Average;4587;86;348;257;262;1242;7,84;17,23;53,57;73,19;83,98;52,17;125,73;00:53:06;1,82;1,59;5,59;5,68;26,76;7,38;22,07;12;72,4;79,27;1,07;79,27;476,25;42,87;27,33;
ARBOLEDA;4840;95;517;332;316;1433;8,87;20,63;169,14;118,34;112,26;48,08;220,4;00:50:56;2,32;2,45;6,87;6,54;29,61;10,68;29;28;104;104;4;104;504,55;47,54;30,21;
BOCCIA;5104;100;530;299;334;1597;9,27;19,15;138,9;75,86;113,11;45,57;171,01;00:50:47;2,22;1,49;5,85;6,55;31,29;10,39;36;9;89;104;5;104;554,71;48,03;30,64;
CHIERICO;4826;95;319;244;264;1283;8,5;16,06;24,09;71,37;80,33;46,99;129,67;00:51:00;1,66;1,48;5,05;5,47;26,59;6,61;19;11;71;83;0;83;499,03;42,18;26,38;
DEMARCUS ;4917;96;473;310;294;1530;8,83;18,75;55,1;89,61;90,34;49,84;145,49;00:51:10;1,84;1,82;6,31;5,98;31,12;9,62;23;18;94;81;1;81;673,75;48,38;26,98;
EMERSON;4300;75;246;219;235;1006;6,72;16,27;18,72;50,53;78,24;57,02;78,36;00:57:34;1,82;1,18;5,1;5,46;23,41;5,73;23;7;64;70;0;70;339,39;38,59;26,05;
GIANDONATO;3481;69;59;162;166;649;6,07;13,94;0;45,74;46,03;57,36;46,56;00:50:35;1,32;1,31;4,66;4,77;18,65;1,68;15;7;45;57;0;57;231,67;31,98;22,82;
LA ROSA ;4748;82;283;210;201;1232;7,26;13,68;20,69;55,84;48,6;53,04;76,72;00:57:34;1,02;1,18;4,42;4,24;25,95;5,95;13;10;62;60;0;60;530,37;41,01;26,88;
LELLA ;4796;94;493;315;296;1335;8,69;19,76;86,18;93,77;102,01;49,02;189,66;00:51:10;2,13;1,96;6,57;6,17;27,84;10,28;31;18;96;92;1;92;575,63;45,44;29,41;
MANCINI;4784;94;530;269;297;1546;8,57;18,07;73,84;66,88;100,82;50,75;149,27;00:50:59;2,11;1,4;5,63;6,2;32,33;11,08;23;11;63;89;2;89;645,34;48,74;28,21;
OCCHIONI;4822;85;443;236;268;1373;7,59;15,73;93,24;67,28;77,02;54,16;117,93;00:56:55;1,6;1,4;4,9;5,56;28,48;9,19;18;8;69;79;1;79;465,5;44,13;27,92;
PALESI;4657;92;264;218;231;1280;8,18;15,34;37,63;50,11;81,94;50,22;70,15;00:50:48;1,76;1,08;4,68;4,97;27,49;5,66;24;4;61;99;1;99;469,96;42,46;27,13;
PINNA S.;4825;84;374;359;353;1316;7,89;21,55;39,06;115,4;123,86;53,41;185,15;00:57:29;2,57;2,39;7,45;7,31;27,27;7,74;27;17;72;83;1;83;460,95;45,53;27,57;
RAGATZU;4041;79;266;240;222;982;7,15;17,1;22,08;63,92;55,87;56,29;109,49;00:51:14;1,38;1,58;5,94;5,48;24,29;6,59;13;17;76;69;0;69;444,3;40,39;26,9;
TRAVAGLINI;4474;88;171;199;182;1073;7,74;13,57;14,97;56,78;55,18;50,7;78,1;00:50:47;1,23;1,27;4,44;4,06;23,98;3,82;15;8;51;47;0;47;364,25;39,13;27,08;
UDHO;4196;73;251;249;270;996;6,71;18,75;9,85;76,43;94,13;58,22;118;00:57:29;2,24;1,82;5,93;6,43;23,74;5,98;22;7;69;72;0;72;384,39;40,08;25,78;
