;D;Drel;D_SHI;D_AccHI;D_DecHI;D_MPHI;AMP;%ED;D_S6;D_A8;D_A1;%Tempo Recupero;D_MP5;T;%D_A1;%D_A8;%D_AccHI;%D_DecHI;%D_MPHI;%D_SHI;ND_A1;NU_A8;NU_AccHI;ND_DecHI;NU_S6;ND_DecHI;D_S4;%AI;SMax (kmh);
Team Average;826;96;7;37;17;181;8,22;10,18;0;8,92;3,09;47,93;5,13;00:08:34;0,37;1,08;4,43;2,11;21,75;0,82;0,11;1,22;12,56;5,11;0;5,11;50,44;35,87;19,75;
ARBOLEDA;787;92;0;41;17;164;7,87;10,82;0;9,84;4,2;50,22;5,18;00:08:34;0,53;1,25;5,18;2,16;20,78;0;0;1;21;7;0;7;24,43;35,5;18,83;
BOCCIA;832;97;20;40;26;212;8,43;12,11;0;9,77;5,15;50,3;9,39;00:08:34;0,62;1,17;4,79;3,13;25,51;2,4;1;2;11;13;0;13;55,93;40,61;23,3;
BRIGNANI;855;100;2;44;19;217;8,54;10,61;0;8,62;2,17;47,61;6,68;00:08:34;0,25;1,01;5,12;2,21;25,39;0,19;0;0;17;7;0;7;75,6;41,19;19,22;
EMERSON;882;103;32;38;17;252;8,81;10,55;0;10,46;2,12;48,67;7,72;00:08:34;0,24;1,19;4,3;1,91;28,56;3,63;0;1;12;4;0;4;130,19;44,43;21,66;
GIANDONATO;755;88;0;26;10;127;7,35;7,77;0;6,74;0,69;49,12;1,44;00:08:34;0,09;0,89;3,42;1,3;16,78;0;0;1;11;1;0;1;22,82;28,56;18,88;
LA ROSA ;858;100;1;24;7;144;8,22;6,12;0;4,13;0,97;44,62;0,27;00:08:34;0,11;0,48;2,82;0,83;16,74;0,12;0;1;5;2;0;2;22,96;27,45;19,25;
PISANO;834;97;2;47;23;207;8,47;12,41;0;10,88;4,94;48,49;6,49;00:08:34;0,59;1,3;5,65;2,71;24,88;0,25;0;2;17;6;0;6;70,61;40,58;19,59;
RENAULT ;867;101;7;41;22;188;8,71;11,25;0;11,25;4,89;43,27;4,44;00:08:34;0,56;1,3;4,71;2,59;21,66;0,8;0;1;11;5;0;5;47,4;36,12;19,82;
TRAVAGLINI;763;89;0;30;16;118;7,58;10,02;0;8,57;2,65;49,08;4,58;00:08:34;0,35;1,12;3,87;2,13;15,43;0;0;2;8;1;0;1;4;28,35;17,25;
