;D;Drel;D_SHI;D_AccHI;D_DecHI;D_MPHI;AMP;%ED;D_S6;D_A8;D_A1;%Tempo Recupero;D_MP5;T;%D_A1;%D_A8;%D_AccHI;%D_DecHI;%D_MPHI;%D_SHI;ND_A1;NU_A8;NU_AccHI;ND_DecHI;NU_S6;ND_DecHI;D_S4;%AI;SMax (kmh);
Team Average;5566;121;391;245;240;1308;10,65;13,73;101,73;68,14;81,27;27,92;139,71;00:45:59;1,46;1,23;4,41;4,31;23,41;7,02;22,33;12,67;64;71,22;2,78;71,22;475,77;37,73;28,94;
ARBOLEDA;5490;119;511;328;303;1415;10,87;17,64;123,6;102,9;110,24;29,43;194,03;00:45:59;2,01;1,87;5,97;5,52;25,77;9,31;30;24;89;94;3;94;587,82;42,1;30,41;
BOCCIA;5267;115;388;233;225;1206;10,07;13,6;106,05;66,75;62,93;32,36;140,74;00:45:59;1,19;1,27;4,42;4,27;22,9;7,36;11;11;70;61;3;61;430,93;37,1;30,47;
DEMARCUS ;5672;123;411;291;276;1368;11,01;15,38;119,54;81,83;107,84;25,34;195,26;00:45:59;1,9;1,44;5,12;4,87;24,11;7,25;34;19;76;90;3;90;536,83;39,54;29,39;
EMERSON;5024;109;241;169;145;885;9,27;9,72;23,02;47,52;42,88;31,75;61,45;00:45:59;0,85;0,95;3,37;2,88;17,62;4,79;10;3;43;50;1;50;291,74;29,5;26,51;
LA ROSA ;5976;130;158;195;183;1352;11,08;10,16;30,84;44,21;53,96;22,79;52,65;00:45:59;0,9;0,74;3,26;3,07;22,62;2,65;17;7;47;51;1;51;416,04;35,65;27,27;
OCCHIONI;5804;126;470;287;302;1509;11,33;16,05;146,45;83,05;104,61;26,48;190,13;00:45:59;1,8;1,43;4,95;5,2;26,01;8,09;28;15;76;90;3;90;610,03;41,58;30,37;
PALESI;5711;124;389;241;239;1384;10,9;13,38;96,56;68,75;83,11;29,72;141,33;00:45:59;1,46;1,2;4,22;4,19;24,23;6,81;25;17;66;70;4;70;488,62;38,55;28,08;
RENAULT ;5879;128;543;227;235;1508;11,18;13,01;161,5;59,22;74,92;25,48;134,04;00:45:59;1,27;1,01;3,87;3,99;25,65;9,24;20;8;51;63;5;63;582,64;39,53;28,48;
UDHO;5268;115;405;238;253;1149;10,16;14,68;107,98;59;90,91;27,95;147,74;00:45:59;1,73;1,12;4,52;4,8;21,81;7,68;26;10;58;72;2;72;337,18;36;29,51;
