;D;Drel;D_SHI;D_AccHI;D_DecHI;D_MPHI;AMP;%ED;D_S6;D_A8;D_A1;%Tempo Recupero;D_MP5;T;%D_A1;%D_A8;%D_AccHI;%D_DecHI;%D_MPHI;%D_SHI;ND_A1;NU_A8;NU_AccHI;ND_DecHI;NU_S6;ND_DecHI;D_S4;%AI;SMax (kmh);
Team Average;1513;81;42;43;48;215;6,83;8,64;5,89;11,64;15,84;47,85;18,2;00:18:38;1,04;0,75;2,85;3,2;13,74;2,64;4,24;1,76;11;15,29;0,12;15,29;79,25;23,82;24,29;
BIANCU;1044;56;24;17;27;124;4,6;6,1;0;0,86;8,53;73,8;6,05;00:18:39;0,82;0,08;1,65;2,56;11,9;2,34;2;0;5;7;0;7;58,49;19,95;20,98;
BOCCIA;1361;73;27;58;52;182;6,36;12,53;0;20,54;17,47;50,04;21;00:18:39;1,28;1,51;4,27;3,84;13,34;1,97;6;6;17;16;0;16;59,91;25,81;23,24;
BRIGNANI;1524;82;54;43;54;220;6,85;8,37;14,49;9,91;20,67;42,43;18,16;00:18:39;1,36;0,65;2,82;3,51;14,42;3,53;7;4;15;17;0;17;79,93;23,98;25,98;
CHIERICO;1736;94;57;46;54;259;7,86;8,29;3,94;10,38;17,82;32,27;16,07;00:18:31;1,03;0,6;2,63;3,13;14,91;3,3;4;1;7;19;0;19;101,39;25,35;24,74;
DEMARCUS ;1124;60;20;43;52;188;5,22;11,93;1,54;13,43;19,01;65,8;14,66;00:18:39;1,69;1,19;3,8;4,62;16,68;1,81;6;2;15;16;0;16;75,19;29,23;24,24;
EMERSON;1118;60;26;20;25;93;4,86;4,69;6,48;2,59;2,91;63,95;3,46;00:18:39;0,26;0,23;1,79;2,23;8,34;2,32;0;0;5;5;0;5;27,07;14,54;25,45;
GIANDONATO;1467;79;9;24;31;128;6,4;5,1;0;6,12;6,33;43,24;2,53;00:18:39;0,43;0,42;1,61;2,08;8,7;0,63;0;2;10;8;0;8;41,23;15,66;20,08;
LA ROSA ;1361;73;50;50;43;176;6,13;8,61;0;11,45;8,85;52,27;22,78;00:18:39;0,65;0,84;3,68;3,16;12,93;3,7;2;2;10;16;0;16;88,09;23,72;23,85;
LELLA ;1958;105;81;95;89;376;9,27;14,08;24,18;40,66;32,93;32,26;59,6;00:18:39;1,68;2,08;4,87;4,55;19,2;4,14;10;2;21;27;1;27;144,73;34,4;29,27;
MANCINI;1032;55;42;32;32;135;4,65;8,51;12,95;6,79;11,15;69,87;16,59;00:18:39;1,08;0,66;3,06;3,08;13,09;4,09;1;1;13;14;0;14;44,1;23,03;28,13;
PALESI;1785;96;48;55;57;240;8,06;8,84;0;17,25;16,33;36,83;22,5;00:18:39;0,91;0,97;3,11;3,18;13,47;2,71;5;1;17;18;0;18;99,08;24,17;23,41;
PINNA S.;2202;118;90;63;89;407;10,04;9,88;28,97;11,33;34,61;19,01;35,98;00:18:39;1,57;0,51;2,86;4,05;18,48;4,1;10;2;11;28;1;28;139,91;29,61;27,78;
PISANO;1906;102;28;37;40;297;8,4;6,16;0;7,33;11,39;35,23;13,14;00:18:39;0,6;0,38;1,96;2,11;15,58;1,46;3;0;8;13;0;13;63,97;24,75;22,41;
RAGATZU;1064;57;25;34;44;146;4,89;10,73;0;7,05;16,09;67,66;9,79;00:18:39;1,51;0,66;3,22;4,13;13,77;2,35;6;1;7;13;0;13;64,76;23,95;21,61;
RENAULT ;2106;113;84;50;61;334;9,4;7,5;0;13,17;16,26;22,12;19,1;00:18:39;0,77;0,63;2,37;2,89;15,87;3,97;4;2;14;18;0;18;148,24;25,68;23,13;
TRAVAGLINI;1939;104;33;46;47;248;8,65;7,57;7,58;11,69;19,53;30,79;21,14;00:18:39;1,01;0,6;2,38;2,44;12,8;1,7;4;1;8;16;0;16;90,34;22,44;26,24;
UDHO;985;53;7;23;28;100;4,41;7,99;0;7,3;9,44;75,72;6,88;00:18:39;0,96;0,74;2,29;2,81;10,12;0,72;2;3;4;9;0;9;20,89;18,76;22,48;
