;D;Drel;D_SHI;D_AccHI;D_DecHI;D_MPHI;AMP;%ED;D_S6;D_A8;D_A1;%Tempo Recupero;D_MP5;T;%D_A1;%D_A8;%D_AccHI;%D_DecHI;%D_MPHI;%D_SHI;ND_A1;NU_A8;NU_AccHI;ND_DecHI;NU_S6;ND_DecHI;D_S4;%AI;SMax (kmh);
Team Average;1072;56;25;79;71;210;5,25;21,53;0,63;26,66;32,26;67,24;27,88;00:19:13;3;2,48;7,33;6,6;19,47;2,28;12,09;5,91;27,27;25,36;0;25,36;71,66;36,74;22,27;
BOCCIA;1072;56;48;89;81;245;5,49;26,32;1,12;35,08;39,96;68,26;42,11;00:19:05;3,73;3,27;8,26;7,59;22,83;4,47;14;14;28;24;0;24;88,71;42,14;24,24;
BRIGNANI;1179;61;14;84;65;208;5,56;17,89;0;28,75;25,92;61,1;27,27;00:19:21;2,2;2,44;7,13;5,52;17,63;1,17;9;5;40;23;0;23;93;34,69;21,26;
DEMARCUS ;1104;57;39;94;91;265;5,63;26,6;0,14;38,63;48,94;64,66;39,46;00:19:11;4,43;3,5;8,52;8,24;23,97;3,53;14;9;34;30;0;30;100,17;42,83;24;
EMERSON;1135;60;15;65;62;208;5,45;17,09;0;15,19;22,97;65,75;14,25;00:18:52;2,02;1,34;5,72;5,48;18,36;1,35;9;3;18;21;0;21;68,42;33,39;21,56;
LA ROSA ;1034;53;16;67;58;184;4,84;17,74;0;17,74;22,4;69,14;17,27;00:19:28;2,17;1,72;6,49;5,56;17,81;1,56;9;1;23;18;0;18;69,13;33,95;21,74;
LELLA ;1074;55;42;85;75;214;5,32;24,13;1,41;35,02;33,31;68,31;41,41;00:19:22;3,1;3,26;7,95;7,03;19,93;3,91;13;8;27;22;0;22;73,28;38,85;24,9;
MANCINI;945;49;34;72;67;193;4,54;20,31;0;21,01;25,73;72,5;26,67;00:19:23;2,72;2,22;7,66;7,05;20,47;3,61;11;3;25;26;0;26;66,46;37,24;22,4;
PALESI;929;47;0;60;55;137;4,32;18,11;0;15,65;21,77;71,74;10,43;00:19:39;2,34;1,69;6,48;5,93;14,73;0,04;9;3;21;24;0;24;17,37;29,58;19,1;
RENAULT ;1052;56;13;84;79;196;5,46;26,48;0;34,3;45,94;65,74;32,25;00:18:52;4,37;3,26;7,94;7,47;18,67;1,21;19;6;29;36;0;36;60,04;37,27;21,38;
TRAVAGLINI;1167;63;48;88;80;268;6,02;23,5;4,25;25,93;36,29;66,19;34,03;00:18:32;3,11;2,22;7,52;6,87;23;4,15;14;6;29;30;0;30;99,26;41,52;24,73;
UDHO;1099;56;2;76;65;188;5,15;18,92;0;25,93;31,6;66,03;21,53;00:19:37;2,88;2,36;6,96;5,94;17,11;0,2;12;7;26;25;0;25;52,4;33,09;19,71;
