;D;Drel;D_SHI;D_AccHI;D_DecHI;D_MPHI;AMP;%ED;D_S6;D_A8;D_A1;%Tempo Recupero;D_MP5;T;%D_A1;%D_A8;%D_AccHI;%D_DecHI;%D_MPHI;%D_SHI;ND_A1;NU_A8;NU_AccHI;ND_DecHI;NU_S6;ND_DecHI;D_S4;%AI;SMax (kmh);
Team Average;1372;73;55;70;66;239;6,5;14,26;7,83;22,45;22,81;53,4;30,93;00:18:42;1,59;1,6;5,06;4,74;17,02;3,7;6,31;4,31;19,19;20,56;0,06;20,56;84,87;30,97;24,54;
BIANCU;1577;91;56;78;69;312;7,98;13,48;8,38;23,1;18,66;45,77;32,31;00:17:21;1,18;1,47;4,95;4,35;19,79;3,52;5;4;23;24;0;24;106,23;34,48;25,27;
BOCCIA;1165;67;22;64;59;182;6,04;16,37;0;22,94;22,64;55,12;16,34;00:17:21;1,94;1,97;5,47;5,02;15,64;1,86;6;6;28;20;0;20;47,19;30,48;21,66;
BRIGNANI;1349;69;24;39;49;180;5,83;8,33;2,51;8,32;6,92;54;7,77;00:19:24;0,51;0,62;2,87;3,6;13,37;1,78;2;1;7;16;0;16;68,83;22,95;24,21;
CHIERICO;1550;82;56;69;73;284;7,14;13,14;4,12;24,28;26,24;47,68;27,07;00:19:00;1,69;1,57;4,42;4,74;18,31;3,61;7;5;18;24;0;24;86,54;31,94;25,03;
DEMARCUS ;903;45;24;46;42;157;3,97;12,97;0;11,86;8,24;74,57;13,07;00:19:52;0,91;1,31;5,05;4,63;17,38;2,7;2;0;13;13;0;13;69,99;31,02;22,56;
EMERSON;1146;66;32;60;61;194;5,85;14,54;11,94;14,46;19,2;57,06;15,15;00:17:21;1,67;1,26;5,25;5,33;16,95;2,82;5;1;17;19;0;19;55,87;30,45;25,64;
LA ROSA ;1551;83;37;65;51;228;7,14;10,48;0,14;17,59;13,9;43,48;20,14;00:18:34;0,9;1,13;4,17;3,28;14,7;2,39;5;3;20;17;0;17;91,55;27,13;24,01;
LELLA ;1725;88;143;109;106;391;8,02;18,44;24,71;34,9;42,03;47,26;68,87;00:19:42;2,44;2,02;6,32;6,15;22,68;8,26;11;4;22;28;0;28;183,43;39,25;27,77;
MANCINI;891;51;18;46;42;124;4,52;13,74;0;15,8;13,74;68,83;11,99;00:17:21;1,54;1,77;5,13;4,73;13,93;1,99;7;3;16;15;0;15;43,27;27,72;21,62;
PALESI;1695;88;89;99;85;330;7,86;14,74;11,12;26,9;34,74;41,58;40,44;00:19:08;2,05;1,59;5,83;5,03;19,48;5,26;10;5;31;32;0;32;130,21;34,32;26,03;
PINNA S.;1686;87;96;100;100;354;8;18,43;20,47;40,11;38,41;42,67;61,65;00:19:18;2,28;2,38;5,91;5,95;21,01;5,68;13;10;27;30;0;30;136,87;37,78;27,08;
PISANO;1559;80;95;97;85;278;7,31;17,44;14,58;27,84;31,7;49,14;60,58;00:19:23;2,03;1,79;6,23;5,47;17,81;6,09;8;7;22;22;0;22;87,26;33,37;26,3;
RAGATZU;947;55;29;47;39;144;4,74;12,34;1,25;12,04;9,56;65,16;18,74;00:17:21;1,01;1,27;4,96;4,08;15,22;3,06;1;2;12;9;0;9;37,35;28,69;24,22;
RENAULT ;1850;95;92;93;93;334;8,49;15,94;10,64;35,7;38,66;36,44;52,16;00:19:33;2,09;1,93;5,01;5,02;18,06;5;14;9;25;29;0;29;133,17;32,6;25,8;
TRAVAGLINI;1558;81;71;80;76;242;7,29;15,99;15,37;32,04;31,35;47,67;42,42;00:19:11;2,01;2,06;5,16;4,87;15,5;4,56;3;7;18;21;1;21;63,95;29,98;26,87;
UDHO;795;41;0;33;28;95;3,53;11,48;0;11,34;9,02;79,41;6,14;00:19:26;1,13;1,43;4,17;3,47;11,95;0;2;2;8;10;0;10;16,25;22,79;18,57;
