;D;Drel;D_SHI;D_AccHI;D_DecHI;D_MPHI;AMP;%ED;D_S6;D_A8;D_A1;%Tempo Recupero;D_MP5;T;%D_A1;%D_A8;%D_AccHI;%D_DecHI;%D_MPHI;%D_SHI;ND_A1;NU_A8;NU_AccHI;ND_DecHI;NU_S6;ND_DecHI;D_S4;%AI;SMax (kmh);
Team Average;4689;69;431;301;255;989;6,49;21,71;26,88;110,97;86,84;0;88,88;01:07:20;1,8;2,34;6,36;5,28;20,21;8,6;21,84;20,58;86;80;2,42;80;310,01;34,54;0;
CAPELLO;4811;69;492;378;310;1086;6,7;26,02;2,68;140,68;106,69;0;107,09;01:10:00;2,22;2,92;7,85;6,45;22,57;10,22;26;35;121;96;0;96;379,15;38,58;0;
COSSU;4305;61;436;250;223;816;5,74;20,62;22,47;96,07;77,55;0;97,18;01:10:00;1,8;2,23;5,8;5,19;18,96;10,12;19;22;79;70;3;70;304,58;32,75;0;
COTALI;5406;77;704;330;278;1226;7,25;21,36;152,06;122,92;88,51;0;152,1;01:10:00;1,64;2,27;6,11;5,14;22,68;13,02;20;27;89;81;11;81;383,84;37,35;0;
DAMETTO;2692;38;30;21;8;102;3,08;3,47;0;2,01;0,57;0;3,01;01:10:00;0,02;0,07;0,79;0,3;3,8;1,1;0;0;6;3;0;3;29,71;6,64;0;
FEOLA;5891;84;589;412;359;1412;8,15;25,11;12,29;165,19;124,4;0;123,26;01:10:00;2,11;2,8;6,99;6,09;23,98;10,01;40;36;118;110;1;110;479,14;40,59;0;
GERONI;5155;74;302;315;275;1003;6,9;21,17;16,99;107,65;95,59;0;66,51;01:10:00;1,85;2,09;6,11;5,33;19,45;5,85;22;18;100;87;2;87;256,72;33,61;0;
MURGIA;4822;69;461;352;293;1004;6,62;24,21;0,67;125,51;109,37;0;105,91;01:10:00;2,27;2,6;7,31;6,09;20,83;9,56;30;24;106;110;0;110;370,64;36,9;0;
MURONI;5044;72;462;324;275;1124;6,85;22,77;17,21;120,96;104,77;0;87,88;01:10:00;2,08;2,4;6,42;5,46;22,28;9,17;30;15;94;105;2;105;352,52;37,48;0;
PINNA S.;5131;73;686;300;279;1164;6,86;20,87;65,65;107,93;89,37;0;106,96;01:10:00;1,74;2,1;5,85;5,44;22,69;13,37;19;17;79;92;6;92;388,22;36,96;0;
PIREDDA;810;42;9;64;38;100;3,96;21,25;0;24,96;13,32;0;7,28;00:19:11;1,64;3,08;7,84;4,71;12,32;1,05;3;5;29;16;0;16;8,55;25,09;0;
RIEHLE;5222;75;380;332;278;1113;7,05;22,13;12,46;121,71;85,84;0;73,72;01:10:00;1,64;2,33;6,35;5,32;21,31;7,27;19;17;108;90;2;90;297,08;36,39;0;
RUSSU;5424;77;721;311;256;1267;7,2;20,1;50,07;105,4;87,39;0;111,71;01:10:00;1,61;1,94;5,73;4,72;23,36;13,29;22;19;85;72;5;72;460,9;37,6;0;
SENESI;4981;71;445;283;243;957;6,64;20,65;67,85;105,95;86,8;0;114,45;01:10:00;1,74;2,13;5,69;4,88;19,21;8,94;23;16;86;76;6;76;272,54;33,21;0;
